priority_rank,ticker,current_output_bucket,trust_level,official_rank_allowed,watch_only,trade_allowed,data_gap_reason,rolling_ledger_status,never_success,stale_or_overdue,official_price_cache_available,factor_present,technical_present,tier_migration_present,held_out_from_previous_batch,previous_hold_reason,batch3_candidate,batch3_priority_rank,selection_reason,exclusion_reason
14,KLAR,DATA_NOT_READY,NONE,FALSE,FALSE,FALSE,OFFICIAL_PRICE_CACHE_MISSING|SCORE_MISSING|TECHNICAL_TIMING_MISSING|ROLLING_LEDGER_FULL_HISTORY_NOT_READY,SKIPPED_NO_LOCAL_DATA,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,Not full factor-ready.,FALSE,14,Manual review: Not full factor-ready.,HELD_OUT_MANUAL_REVIEW
15,OKTA,DATA_NOT_READY,NONE,FALSE,FALSE,FALSE,OFFICIAL_PRICE_CACHE_MISSING|SCORE_MISSING|TECHNICAL_TIMING_MISSING|ROLLING_LEDGER_FULL_HISTORY_NOT_READY,SKIPPED_NO_LOCAL_DATA,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,NONE,TRUE,1,DATA_NOT_READY|NEVER_SUCCESS|MISSING_PRICE_CACHE|MISSING_FACTOR|MISSING_TECHNICAL,
16,OLMA,DATA_NOT_READY,NONE,FALSE,FALSE,FALSE,OFFICIAL_PRICE_CACHE_MISSING|SCORE_MISSING|TECHNICAL_TIMING_MISSING|ROLLING_LEDGER_FULL_HISTORY_NOT_READY,SKIPPED_NO_LOCAL_DATA,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,NONE,TRUE,2,DATA_NOT_READY|NEVER_SUCCESS|MISSING_PRICE_CACHE|MISSING_FACTOR|MISSING_TECHNICAL,
17,OLPX,DATA_NOT_READY,NONE,FALSE,FALSE,FALSE,OFFICIAL_PRICE_CACHE_MISSING|SCORE_MISSING|TECHNICAL_TIMING_MISSING|ROLLING_LEDGER_FULL_HISTORY_NOT_READY,SKIPPED_NO_LOCAL_DATA,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,NONE,TRUE,3,DATA_NOT_READY|NEVER_SUCCESS|MISSING_PRICE_CACHE|MISSING_FACTOR|MISSING_TECHNICAL,
18,OPCH,DATA_NOT_READY,NONE,FALSE,FALSE,FALSE,OFFICIAL_PRICE_CACHE_MISSING|SCORE_MISSING|TECHNICAL_TIMING_MISSING|ROLLING_LEDGER_FULL_HISTORY_NOT_READY,SKIPPED_NO_LOCAL_DATA,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,NONE,TRUE,4,DATA_NOT_READY|NEVER_SUCCESS|MISSING_PRICE_CACHE|MISSING_FACTOR|MISSING_TECHNICAL,
19,PATH,DATA_NOT_READY,NONE,FALSE,FALSE,FALSE,OFFICIAL_PRICE_CACHE_MISSING|SCORE_MISSING|TECHNICAL_TIMING_MISSING|ROLLING_LEDGER_FULL_HISTORY_NOT_READY,SKIPPED_NO_LOCAL_DATA,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,NONE,TRUE,5,DATA_NOT_READY|NEVER_SUCCESS|MISSING_PRICE_CACHE|MISSING_FACTOR|MISSING_TECHNICAL,
20,PCOR,DATA_NOT_READY,NONE,FALSE,FALSE,FALSE,OFFICIAL_PRICE_CACHE_MISSING|SCORE_MISSING|TECHNICAL_TIMING_MISSING|ROLLING_LEDGER_FULL_HISTORY_NOT_READY,SKIPPED_NO_LOCAL_DATA,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,NONE,TRUE,6,DATA_NOT_READY|NEVER_SUCCESS|MISSING_PRICE_CACHE|MISSING_FACTOR|MISSING_TECHNICAL,
21,PCT,DATA_NOT_READY,NONE,FALSE,FALSE,FALSE,OFFICIAL_PRICE_CACHE_MISSING|SCORE_MISSING|TECHNICAL_TIMING_MISSING|ROLLING_LEDGER_FULL_HISTORY_NOT_READY,SKIPPED_NO_LOCAL_DATA,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,NONE,TRUE,7,DATA_NOT_READY|NEVER_SUCCESS|MISSING_PRICE_CACHE|MISSING_FACTOR|MISSING_TECHNICAL,
22,PDD,DATA_NOT_READY,NONE,FALSE,FALSE,FALSE,OFFICIAL_PRICE_CACHE_MISSING|SCORE_MISSING|TECHNICAL_TIMING_MISSING|ROLLING_LEDGER_FULL_HISTORY_NOT_READY,SKIPPED_NO_LOCAL_DATA,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,NONE,TRUE,8,DATA_NOT_READY|NEVER_SUCCESS|MISSING_PRICE_CACHE|MISSING_FACTOR|MISSING_TECHNICAL,
23,PFGC,DATA_NOT_READY,NONE,FALSE,FALSE,FALSE,OFFICIAL_PRICE_CACHE_MISSING|SCORE_MISSING|TECHNICAL_TIMING_MISSING|ROLLING_LEDGER_FULL_HISTORY_NOT_READY,SKIPPED_NO_LOCAL_DATA,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,NONE,TRUE,9,DATA_NOT_READY|NEVER_SUCCESS|MISSING_PRICE_CACHE|MISSING_FACTOR|MISSING_TECHNICAL,
24,PGNY,DATA_NOT_READY,NONE,FALSE,FALSE,FALSE,OFFICIAL_PRICE_CACHE_MISSING|SCORE_MISSING|TECHNICAL_TIMING_MISSING|ROLLING_LEDGER_FULL_HISTORY_NOT_READY,SKIPPED_NO_LOCAL_DATA,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,NONE,TRUE,10,DATA_NOT_READY|NEVER_SUCCESS|MISSING_PRICE_CACHE|MISSING_FACTOR|MISSING_TECHNICAL,
25,PI,DATA_NOT_READY,NONE,FALSE,FALSE,FALSE,OFFICIAL_PRICE_CACHE_MISSING|SCORE_MISSING|TECHNICAL_TIMING_MISSING|ROLLING_LEDGER_FULL_HISTORY_NOT_READY,SKIPPED_NO_LOCAL_DATA,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,NONE,TRUE,11,DATA_NOT_READY|NEVER_SUCCESS|MISSING_PRICE_CACHE|MISSING_FACTOR|MISSING_TECHNICAL,
26,PINS,DATA_NOT_READY,NONE,FALSE,FALSE,FALSE,OFFICIAL_PRICE_CACHE_MISSING|SCORE_MISSING|TECHNICAL_TIMING_MISSING|ROLLING_LEDGER_FULL_HISTORY_NOT_READY,SKIPPED_NO_LOCAL_DATA,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,NONE,TRUE,12,DATA_NOT_READY|NEVER_SUCCESS|MISSING_PRICE_CACHE|MISSING_FACTOR|MISSING_TECHNICAL,
27,PLUG,DATA_NOT_READY,NONE,FALSE,FALSE,FALSE,OFFICIAL_PRICE_CACHE_MISSING|SCORE_MISSING|TECHNICAL_TIMING_MISSING|ROLLING_LEDGER_FULL_HISTORY_NOT_READY,SKIPPED_NO_LOCAL_DATA,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,NONE,TRUE,13,DATA_NOT_READY|NEVER_SUCCESS|MISSING_PRICE_CACHE|MISSING_FACTOR|MISSING_TECHNICAL,
28,PM,DATA_NOT_READY,NONE,FALSE,FALSE,FALSE,OFFICIAL_PRICE_CACHE_MISSING|SCORE_MISSING|TECHNICAL_TIMING_MISSING|ROLLING_LEDGER_FULL_HISTORY_NOT_READY,SKIPPED_NO_LOCAL_DATA,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,NONE,TRUE,14,DATA_NOT_READY|NEVER_SUCCESS|MISSING_PRICE_CACHE|MISSING_FACTOR|MISSING_TECHNICAL,
29,PONY,DATA_NOT_READY,NONE,FALSE,FALSE,FALSE,OFFICIAL_PRICE_CACHE_MISSING|SCORE_MISSING|TECHNICAL_TIMING_MISSING|ROLLING_LEDGER_FULL_HISTORY_NOT_READY,SKIPPED_NO_LOCAL_DATA,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,NONE,TRUE,15,DATA_NOT_READY|NEVER_SUCCESS|MISSING_PRICE_CACHE|MISSING_FACTOR|MISSING_TECHNICAL,
