ticker,canonical_universe_present,first_seen_date,last_attempt_scan_timestamp,last_success_scan_timestamp,last_success_scan_date,last_scan_status,last_scan_run_id,success_scan_count,attempt_scan_count,local_price_available,factor_pack_available,technical_timing_available,full_history_ready,failure_reason,source_notes
AA,TRUE,2026-05-21,2026-05-21T14:16:59,,,SKIPPED_NO_LOCAL_DATA,V18_23B_R1_20260521_141659,0,2,FALSE,FALSE,FALSE,FALSE,LOCAL_PRICE_CACHE_MISSING_OR_EMPTY,local_price=missing;factor_pack=missing;technical_timing=missing
AAL,TRUE,2026-05-21,2026-05-21T14:16:59,,,SKIPPED_NO_LOCAL_DATA,V18_23B_R1_20260521_141659,0,2,FALSE,FALSE,FALSE,FALSE,LOCAL_PRICE_CACHE_MISSING_OR_EMPTY,local_price=missing;factor_pack=missing;technical_timing=missing
AAPL,TRUE,2026-05-21,2026-05-21T14:09:30,2026-05-21T14:09:30,2026-05-21,SUCCESS_LOCAL_SCAN,V18_23B_20260521_140930,1,1,TRUE,TRUE,TRUE,TRUE,,local_price=available;factor_pack=available;technical_timing=available
ABR,TRUE,2026-05-21,2026-05-21T14:16:59,,,SKIPPED_NO_LOCAL_DATA,V18_23B_R1_20260521_141659,0,2,FALSE,FALSE,FALSE,FALSE,LOCAL_PRICE_CACHE_MISSING_OR_EMPTY,local_price=missing;factor_pack=missing;technical_timing=missing
ACLS,TRUE,2026-05-21,2026-05-21T14:09:30,2026-05-21T14:09:30,2026-05-21,SUCCESS_LOCAL_SCAN,V18_23B_20260521_140930,1,1,TRUE,TRUE,TRUE,TRUE,,local_price=available;factor_pack=available;technical_timing=available
ACM,TRUE,2026-05-21,2026-05-21T14:09:30,2026-05-21T14:09:30,2026-05-21,SUCCESS_LOCAL_SCAN,V18_23B_20260521_140930,1,1,TRUE,TRUE,TRUE,TRUE,,local_price=available;factor_pack=available;technical_timing=available
ACMR,TRUE,2026-05-21,2026-05-21T14:09:30,2026-05-21T14:09:30,2026-05-21,SUCCESS_LOCAL_SCAN,V18_23B_20260521_140930,1,1,TRUE,TRUE,TRUE,TRUE,,local_price=available;factor_pack=available;technical_timing=available
ADBE,TRUE,2026-05-21,2026-05-21T14:16:59,,,SKIPPED_NO_LOCAL_DATA,V18_23B_R1_20260521_141659,0,2,FALSE,FALSE,FALSE,FALSE,LOCAL_PRICE_CACHE_MISSING_OR_EMPTY,local_price=missing;factor_pack=missing;technical_timing=missing
ADMA,TRUE,2026-05-21,2026-05-21T14:16:59,,,SKIPPED_NO_LOCAL_DATA,V18_23B_R1_20260521_141659,0,2,FALSE,FALSE,FALSE,FALSE,LOCAL_PRICE_CACHE_MISSING_OR_EMPTY,local_price=missing;factor_pack=missing;technical_timing=missing
ADSK,TRUE,2026-05-21,2026-05-21T14:16:59,,,SKIPPED_NO_LOCAL_DATA,V18_23B_R1_20260521_141659,0,2,FALSE,FALSE,FALSE,FALSE,LOCAL_PRICE_CACHE_MISSING_OR_EMPTY,local_price=missing;factor_pack=missing;technical_timing=missing
AEHR,TRUE,2026-05-21,2026-05-21T14:09:30,2026-05-21T14:09:30,2026-05-21,SUCCESS_LOCAL_SCAN,V18_23B_20260521_140930,1,1,TRUE,TRUE,TRUE,TRUE,,local_price=available;factor_pack=available;technical_timing=available
AEIS,TRUE,2026-05-21,2026-05-21T14:16:59,,,SKIPPED_NO_LOCAL_DATA,V18_23B_R1_20260521_141659,0,2,FALSE,FALSE,FALSE,FALSE,LOCAL_PRICE_CACHE_MISSING_OR_EMPTY,local_price=missing;factor_pack=missing;technical_timing=missing
AEVA,TRUE,2026-05-21,2026-05-21T14:16:59,,,SKIPPED_NO_LOCAL_DATA,V18_23B_R1_20260521_141659,0,2,FALSE,FALSE,FALSE,FALSE,LOCAL_PRICE_CACHE_MISSING_OR_EMPTY,local_price=missing;factor_pack=missing;technical_timing=missing
AFRM,TRUE,2026-05-21,2026-05-21T14:16:59,,,SKIPPED_NO_LOCAL_DATA,V18_23B_R1_20260521_141659,0,2,FALSE,FALSE,FALSE,FALSE,LOCAL_PRICE_CACHE_MISSING_OR_EMPTY,local_price=missing;factor_pack=missing;technical_timing=missing
AGX,TRUE,2026-05-21,2026-05-21T14:16:59,,,SKIPPED_NO_LOCAL_DATA,V18_23B_R1_20260521_141659,0,2,FALSE,FALSE,FALSE,FALSE,LOCAL_PRICE_CACHE_MISSING_OR_EMPTY,local_price=missing;factor_pack=missing;technical_timing=missing
ALAB,TRUE,2026-05-21,2026-05-21T14:09:30,2026-05-21T14:09:30,2026-05-21,SUCCESS_LOCAL_SCAN,V18_23B_20260521_140930,1,1,TRUE,TRUE,TRUE,TRUE,,local_price=available;factor_pack=available;technical_timing=available
ALM,TRUE,2026-05-21,2026-05-21T14:16:59,,,SKIPPED_NO_LOCAL_DATA,V18_23B_R1_20260521_141659,0,2,FALSE,FALSE,FALSE,FALSE,LOCAL_PRICE_CACHE_MISSING_OR_EMPTY,local_price=missing;factor_pack=missing;technical_timing=missing
AMAT,TRUE,2026-05-21,2026-05-21T14:09:30,2026-05-21T14:09:30,2026-05-21,SUCCESS_LOCAL_SCAN,V18_23B_20260521_140930,1,1,TRUE,TRUE,TRUE,TRUE,,local_price=available;factor_pack=available;technical_timing=available
AMC,TRUE,2026-05-21,2026-05-21T14:16:59,,,SKIPPED_NO_LOCAL_DATA,V18_23B_R1_20260521_141659,0,2,FALSE,FALSE,FALSE,FALSE,LOCAL_PRICE_CACHE_MISSING_OR_EMPTY,local_price=missing;factor_pack=missing;technical_timing=missing
AMD,TRUE,2026-05-21,2026-05-21T14:09:30,2026-05-21T14:09:30,2026-05-21,SUCCESS_LOCAL_SCAN,V18_23B_20260521_140930,1,1,TRUE,TRUE,TRUE,TRUE,,local_price=available;factor_pack=available;technical_timing=available
AMKR,TRUE,2026-05-21,2026-05-21T14:09:30,2026-05-21T14:09:30,2026-05-21,SUCCESS_LOCAL_SCAN,V18_23B_20260521_140930,1,1,TRUE,TRUE,TRUE,TRUE,,local_price=available;factor_pack=available;technical_timing=available
AMZN,TRUE,2026-05-21,2026-05-21T14:09:30,2026-05-21T14:09:30,2026-05-21,SUCCESS_LOCAL_SCAN,V18_23B_20260521_140930,1,1,TRUE,TRUE,TRUE,TRUE,,local_price=available;factor_pack=available;technical_timing=available
ANET,TRUE,2026-05-21,2026-05-21T14:09:30,2026-05-21T14:09:30,2026-05-21,SUCCESS_LOCAL_SCAN,V18_23B_20260521_140930,1,1,TRUE,TRUE,TRUE,TRUE,,local_price=available;factor_pack=available;technical_timing=available
APG,TRUE,2026-05-21,2026-05-21T14:16:59,,,SKIPPED_NO_LOCAL_DATA,V18_23B_R1_20260521_141659,0,2,FALSE,FALSE,FALSE,FALSE,LOCAL_PRICE_CACHE_MISSING_OR_EMPTY,local_price=missing;factor_pack=missing;technical_timing=missing
APH,TRUE,2026-05-21,2026-05-21T14:09:30,2026-05-21T14:09:30,2026-05-21,SUCCESS_LOCAL_SCAN,V18_23B_20260521_140930,1,1,TRUE,TRUE,TRUE,TRUE,,local_price=available;factor_pack=available;technical_timing=available
APLD,TRUE,2026-05-21,2026-05-21T14:16:59,,,SKIPPED_NO_LOCAL_DATA,V18_23B_R1_20260521_141659,0,2,FALSE,FALSE,FALSE,FALSE,LOCAL_PRICE_CACHE_MISSING_OR_EMPTY,local_price=missing;factor_pack=missing;technical_timing=missing
APO,TRUE,2026-05-21,2026-05-21T14:16:59,,,SKIPPED_NO_LOCAL_DATA,V18_23B_R1_20260521_141659,0,2,FALSE,FALSE,FALSE,FALSE,LOCAL_PRICE_CACHE_MISSING_OR_EMPTY,local_price=missing;factor_pack=missing;technical_timing=missing
APP,TRUE,2026-05-21,2026-05-21T14:16:59,,,SKIPPED_NO_LOCAL_DATA,V18_23B_R1_20260521_141659,0,2,FALSE,FALSE,FALSE,FALSE,LOCAL_PRICE_CACHE_MISSING_OR_EMPTY,local_price=missing;factor_pack=missing;technical_timing=missing
ARGT,TRUE,2026-05-21,2026-05-21T14:16:59,,,SKIPPED_NO_LOCAL_DATA,V18_23B_R1_20260521_141659,0,2,FALSE,FALSE,FALSE,FALSE,LOCAL_PRICE_CACHE_MISSING_OR_EMPTY,local_price=missing;factor_pack=missing;technical_timing=missing
ARM,TRUE,2026-05-21,2026-05-21T14:09:30,2026-05-21T14:09:30,2026-05-21,SUCCESS_LOCAL_SCAN,V18_23B_20260521_140930,1,1,TRUE,TRUE,TRUE,TRUE,,local_price=available;factor_pack=available;technical_timing=available
ASML,TRUE,2026-05-21,2026-05-21T14:09:30,2026-05-21T14:09:30,2026-05-21,SUCCESS_LOCAL_SCAN,V18_23B_20260521_140930,1,1,TRUE,TRUE,TRUE,TRUE,,local_price=available;factor_pack=available;technical_timing=available
AVGO,TRUE,2026-05-21,2026-05-21T14:09:30,2026-05-21T14:09:30,2026-05-21,SUCCESS_LOCAL_SCAN,V18_23B_20260521_140930,1,1,TRUE,TRUE,TRUE,TRUE,,local_price=available;factor_pack=available;technical_timing=available
AXON,TRUE,2026-05-21,2026-05-21T14:16:59,,,SKIPPED_NO_LOCAL_DATA,V18_23B_R1_20260521_141659,0,2,FALSE,FALSE,FALSE,FALSE,LOCAL_PRICE_CACHE_MISSING_OR_EMPTY,local_price=missing;factor_pack=missing;technical_timing=missing
BABA,TRUE,2026-05-21,2026-05-21T14:16:59,,,SKIPPED_NO_LOCAL_DATA,V18_23B_R1_20260521_141659,0,2,FALSE,FALSE,FALSE,FALSE,LOCAL_PRICE_CACHE_MISSING_OR_EMPTY,local_price=missing;factor_pack=missing;technical_timing=missing
BAC,TRUE,2026-05-21,2026-05-21T14:16:59,,,SKIPPED_NO_LOCAL_DATA,V18_23B_R1_20260521_141659,0,2,FALSE,FALSE,FALSE,FALSE,LOCAL_PRICE_CACHE_MISSING_OR_EMPTY,local_price=missing;factor_pack=missing;technical_timing=missing
BALL,TRUE,2026-05-21,2026-05-21T14:16:59,,,SKIPPED_NO_LOCAL_DATA,V18_23B_R1_20260521_141659,0,2,FALSE,FALSE,FALSE,FALSE,LOCAL_PRICE_CACHE_MISSING_OR_EMPTY,local_price=missing;factor_pack=missing;technical_timing=missing
BE,TRUE,2026-05-21,2026-05-21T14:09:30,2026-05-21T14:09:30,2026-05-21,SUCCESS_LOCAL_SCAN,V18_23B_20260521_140930,1,1,TRUE,TRUE,TRUE,TRUE,,local_price=available;factor_pack=available;technical_timing=available
BIDU,TRUE,2026-05-21,2026-05-21T14:16:59,,,SKIPPED_NO_LOCAL_DATA,V18_23B_R1_20260521_141659,0,2,FALSE,FALSE,FALSE,FALSE,LOCAL_PRICE_CACHE_MISSING_OR_EMPTY,local_price=missing;factor_pack=missing;technical_timing=missing
BITF,TRUE,2026-05-21,2026-05-21T14:16:59,,,SKIPPED_NO_LOCAL_DATA,V18_23B_R1_20260521_141659,0,2,FALSE,FALSE,FALSE,FALSE,LOCAL_PRICE_CACHE_MISSING_OR_EMPTY,local_price=missing;factor_pack=missing;technical_timing=missing
BKNG,TRUE,2026-05-21,2026-05-21T14:16:59,,,SKIPPED_NO_LOCAL_DATA,V18_23B_R1_20260521_141659,0,2,FALSE,FALSE,FALSE,FALSE,LOCAL_PRICE_CACHE_MISSING_OR_EMPTY,local_price=missing;factor_pack=missing;technical_timing=missing
BLSH,TRUE,2026-05-21,2026-05-21T14:16:59,,,SKIPPED_NO_LOCAL_DATA,V18_23B_R1_20260521_141659,0,2,FALSE,FALSE,FALSE,FALSE,LOCAL_PRICE_CACHE_MISSING_OR_EMPTY,local_price=missing;factor_pack=missing;technical_timing=missing
BLTE,TRUE,2026-05-21,2026-05-21T14:16:59,,,SKIPPED_NO_LOCAL_DATA,V18_23B_R1_20260521_141659,0,2,FALSE,FALSE,FALSE,FALSE,LOCAL_PRICE_CACHE_MISSING_OR_EMPTY,local_price=missing;factor_pack=missing;technical_timing=missing
BN,TRUE,2026-05-21,2026-05-21T14:16:59,,,SKIPPED_NO_LOCAL_DATA,V18_23B_R1_20260521_141659,0,2,FALSE,FALSE,FALSE,FALSE,LOCAL_PRICE_CACHE_MISSING_OR_EMPTY,local_price=missing;factor_pack=missing;technical_timing=missing
BSX,TRUE,2026-05-21,2026-05-21T14:16:59,,,SKIPPED_NO_LOCAL_DATA,V18_23B_R1_20260521_141659,0,2,FALSE,FALSE,FALSE,FALSE,LOCAL_PRICE_CACHE_MISSING_OR_EMPTY,local_price=missing;factor_pack=missing;technical_timing=missing
BTDR,TRUE,2026-05-21,2026-05-21T14:09:30,2026-05-21T14:09:30,2026-05-21,SUCCESS_LOCAL_SCAN,V18_23B_20260521_140930,1,1,TRUE,TRUE,TRUE,TRUE,,local_price=available;factor_pack=available;technical_timing=available
BW,TRUE,2026-05-21,2026-05-21T14:16:59,,,SKIPPED_NO_LOCAL_DATA,V18_23B_R1_20260521_141659,0,2,FALSE,FALSE,FALSE,FALSE,LOCAL_PRICE_CACHE_MISSING_OR_EMPTY,local_price=missing;factor_pack=missing;technical_timing=missing
BYND,TRUE,2026-05-21,2026-05-21T14:16:59,,,SKIPPED_NO_LOCAL_DATA,V18_23B_R1_20260521_141659,0,2,FALSE,FALSE,FALSE,FALSE,LOCAL_PRICE_CACHE_MISSING_OR_EMPTY,local_price=missing;factor_pack=missing;technical_timing=missing
CAI,TRUE,2026-05-21,2026-05-21T14:16:59,,,SKIPPED_NO_LOCAL_DATA,V18_23B_R1_20260521_141659,0,2,FALSE,FALSE,FALSE,FALSE,LOCAL_PRICE_CACHE_MISSING_OR_EMPTY,local_price=missing;factor_pack=missing;technical_timing=missing
CAMT,TRUE,2026-05-21,2026-05-21T14:09:30,2026-05-21T14:09:30,2026-05-21,SUCCESS_LOCAL_SCAN,V18_23B_20260521_140930,1,1,TRUE,TRUE,TRUE,TRUE,,local_price=available;factor_pack=available;technical_timing=available
CARR,TRUE,2026-05-21,2026-05-21T14:09:30,2026-05-21T14:09:30,2026-05-21,SUCCESS_LOCAL_SCAN,V18_23B_20260521_140930,1,1,TRUE,TRUE,TRUE,TRUE,,local_price=available;factor_pack=available;technical_timing=available
CART,TRUE,2026-05-21,2026-05-21T14:16:59,,,SKIPPED_NO_LOCAL_DATA,V18_23B_R1_20260521_141659,0,2,FALSE,FALSE,FALSE,FALSE,LOCAL_PRICE_CACHE_MISSING_OR_EMPTY,local_price=missing;factor_pack=missing;technical_timing=missing
CDNS,TRUE,2026-05-21,2026-05-21T14:16:59,,,SKIPPED_NO_LOCAL_DATA,V18_23B_R1_20260521_141659,0,2,FALSE,FALSE,FALSE,FALSE,LOCAL_PRICE_CACHE_MISSING_OR_EMPTY,local_price=missing;factor_pack=missing;technical_timing=missing
CDTX,TRUE,2026-05-21,2026-05-21T14:16:59,,,SKIPPED_NO_LOCAL_DATA,V18_23B_R1_20260521_141659,0,2,FALSE,FALSE,FALSE,FALSE,LOCAL_PRICE_CACHE_MISSING_OR_EMPTY,local_price=missing;factor_pack=missing;technical_timing=missing
CEG,TRUE,2026-05-21,2026-05-21T14:09:30,2026-05-21T14:09:30,2026-05-21,SUCCESS_LOCAL_SCAN,V18_23B_20260521_140930,1,1,TRUE,TRUE,TRUE,TRUE,,local_price=available;factor_pack=available;technical_timing=available
CFLT,TRUE,2026-05-21,2026-05-21T14:16:59,,,SKIPPED_NO_LOCAL_DATA,V18_23B_R1_20260521_141659,0,2,FALSE,FALSE,FALSE,FALSE,LOCAL_PRICE_CACHE_MISSING_OR_EMPTY,local_price=missing;factor_pack=missing;technical_timing=missing
CHPT,TRUE,2026-05-21,2026-05-21T14:16:59,,,SKIPPED_NO_LOCAL_DATA,V18_23B_R1_20260521_141659,0,2,FALSE,FALSE,FALSE,FALSE,LOCAL_PRICE_CACHE_MISSING_OR_EMPTY,local_price=missing;factor_pack=missing;technical_timing=missing
CHRW,TRUE,2026-05-21,2026-05-21T14:16:59,,,SKIPPED_NO_LOCAL_DATA,V18_23B_R1_20260521_141659,0,2,FALSE,FALSE,FALSE,FALSE,LOCAL_PRICE_CACHE_MISSING_OR_EMPTY,local_price=missing;factor_pack=missing;technical_timing=missing
CHYM,TRUE,2026-05-21,2026-05-21T14:16:59,,,SKIPPED_NO_LOCAL_DATA,V18_23B_R1_20260521_141659,0,2,FALSE,FALSE,FALSE,FALSE,LOCAL_PRICE_CACHE_MISSING_OR_EMPTY,local_price=missing;factor_pack=missing;technical_timing=missing
CIEN,TRUE,2026-05-21,2026-05-21T14:09:30,2026-05-21T14:09:30,2026-05-21,SUCCESS_LOCAL_SCAN,V18_23B_20260521_140930,1,1,TRUE,TRUE,TRUE,TRUE,,local_price=available;factor_pack=available;technical_timing=available
CIFR,TRUE,2026-05-21,2026-05-21T14:09:30,2026-05-21T14:09:30,2026-05-21,SUCCESS_LOCAL_SCAN,V18_23B_20260521_140930,1,1,TRUE,TRUE,TRUE,TRUE,,local_price=available;factor_pack=available;technical_timing=available
CLF,TRUE,2026-05-21,2026-05-21T14:16:59,,,SKIPPED_NO_LOCAL_DATA,V18_23B_R1_20260521_141659,0,2,FALSE,FALSE,FALSE,FALSE,LOCAL_PRICE_CACHE_MISSING_OR_EMPTY,local_price=missing;factor_pack=missing;technical_timing=missing
CLH,TRUE,2026-05-21,2026-05-21T14:16:59,,,SKIPPED_NO_LOCAL_DATA,V18_23B_R1_20260521_141659,0,2,FALSE,FALSE,FALSE,FALSE,LOCAL_PRICE_CACHE_MISSING_OR_EMPTY,local_price=missing;factor_pack=missing;technical_timing=missing
CLS,TRUE,2026-05-21,2026-05-21T14:09:30,2026-05-21T14:09:30,2026-05-21,SUCCESS_LOCAL_SCAN,V18_23B_20260521_140930,1,1,TRUE,TRUE,TRUE,TRUE,,local_price=available;factor_pack=available;technical_timing=available
CLSK,TRUE,2026-05-21,2026-05-21T14:16:59,,,SKIPPED_NO_LOCAL_DATA,V18_23B_R1_20260521_141659,0,2,FALSE,FALSE,FALSE,FALSE,LOCAL_PRICE_CACHE_MISSING_OR_EMPTY,local_price=missing;factor_pack=missing;technical_timing=missing
CMG,TRUE,2026-05-21,2026-05-21T14:16:59,,,SKIPPED_NO_LOCAL_DATA,V18_23B_R1_20260521_141659,0,2,FALSE,FALSE,FALSE,FALSE,LOCAL_PRICE_CACHE_MISSING_OR_EMPTY,local_price=missing;factor_pack=missing;technical_timing=missing
