row_index,ticker,horizon,label_column,label_status,date_column,base_date,base_date_source,as_of_date,maturity_method,maturity_reason,target_price_date,trading_day_maturity_status,recommended_action
0,APH,1D,fwd_1d_return,BLANK,snapshot_date,2026-05-15,source_row_text.price_date,2026-05-18,YFINANCE_TRADING_DAY,PENDING_NOT_ENOUGH_TRADING_DAYS,,NOT_YET_MATURE,WAIT_MATURITY
1,ECL,1D,fwd_1d_return,BLANK,snapshot_date,2026-05-15,source_row_text.price_date,2026-05-18,YFINANCE_TRADING_DAY,PENDING_NOT_ENOUGH_TRADING_DAYS,,NOT_YET_MATURE,WAIT_MATURITY
2,HUBB,1D,fwd_1d_return,BLANK,snapshot_date,2026-05-15,source_row_text.price_date,2026-05-18,YFINANCE_TRADING_DAY,PENDING_NOT_ENOUGH_TRADING_DAYS,,NOT_YET_MATURE,WAIT_MATURITY
3,PLTR,1D,fwd_1d_return,BLANK,snapshot_date,2026-05-15,source_row_text.price_date,2026-05-18,YFINANCE_TRADING_DAY,PENDING_NOT_ENOUGH_TRADING_DAYS,,NOT_YET_MATURE,WAIT_MATURITY
4,VST,1D,fwd_1d_return,BLANK,snapshot_date,2026-05-15,source_row_text.price_date,2026-05-18,YFINANCE_TRADING_DAY,PENDING_NOT_ENOUGH_TRADING_DAYS,,NOT_YET_MATURE,WAIT_MATURITY
5,ACM,1D,fwd_1d_return,BLANK,snapshot_date,2026-05-15,source_row_text.price_date,2026-05-18,YFINANCE_TRADING_DAY,PENDING_NOT_ENOUGH_TRADING_DAYS,,NOT_YET_MATURE,WAIT_MATURITY
6,CAMT,1D,fwd_1d_return,BLANK,snapshot_date,2026-05-15,source_row_text.price_date,2026-05-18,YFINANCE_TRADING_DAY,PENDING_NOT_ENOUGH_TRADING_DAYS,,NOT_YET_MATURE,WAIT_MATURITY
7,CEG,1D,fwd_1d_return,BLANK,snapshot_date,2026-05-15,source_row_text.price_date,2026-05-18,YFINANCE_TRADING_DAY,PENDING_NOT_ENOUGH_TRADING_DAYS,,NOT_YET_MATURE,WAIT_MATURITY
8,ANET,1D,fwd_1d_return,BLANK,snapshot_date,2026-05-15,source_row_text.price_date,2026-05-18,YFINANCE_TRADING_DAY,PENDING_NOT_ENOUGH_TRADING_DAYS,,NOT_YET_MATURE,WAIT_MATURITY
9,CRM,1D,fwd_1d_return,BLANK,snapshot_date,2026-05-15,source_row_text.price_date,2026-05-18,YFINANCE_TRADING_DAY,PENDING_NOT_ENOUGH_TRADING_DAYS,,NOT_YET_MATURE,WAIT_MATURITY
10,D,1D,fwd_1d_return,BLANK,snapshot_date,2026-05-15,source_row_text.price_date,2026-05-18,YFINANCE_TRADING_DAY,PENDING_NOT_ENOUGH_TRADING_DAYS,,NOT_YET_MATURE,WAIT_MATURITY
11,ENTG,1D,fwd_1d_return,BLANK,snapshot_date,2026-05-15,source_row_text.price_date,2026-05-18,YFINANCE_TRADING_DAY,PENDING_NOT_ENOUGH_TRADING_DAYS,,NOT_YET_MATURE,WAIT_MATURITY
12,ETR,1D,fwd_1d_return,BLANK,snapshot_date,2026-05-15,source_row_text.price_date,2026-05-18,YFINANCE_TRADING_DAY,PENDING_NOT_ENOUGH_TRADING_DAYS,,NOT_YET_MATURE,WAIT_MATURITY
13,FLR,1D,fwd_1d_return,BLANK,snapshot_date,2026-05-15,source_row_text.price_date,2026-05-18,YFINANCE_TRADING_DAY,PENDING_NOT_ENOUGH_TRADING_DAYS,,NOT_YET_MATURE,WAIT_MATURITY
14,AMKR,1D,fwd_1d_return,BLANK,snapshot_date,2026-05-15,source_row_text.price_date,2026-05-18,YFINANCE_TRADING_DAY,PENDING_NOT_ENOUGH_TRADING_DAYS,,NOT_YET_MATURE,WAIT_MATURITY
15,CRDO,1D,fwd_1d_return,BLANK,snapshot_date,2026-05-15,source_row_text.price_date,2026-05-18,YFINANCE_TRADING_DAY,PENDING_NOT_ENOUGH_TRADING_DAYS,,NOT_YET_MATURE,WAIT_MATURITY
16,CRWV,1D,fwd_1d_return,BLANK,snapshot_date,2026-05-15,source_row_text.price_date,2026-05-18,YFINANCE_TRADING_DAY,PENDING_NOT_ENOUGH_TRADING_DAYS,,NOT_YET_MATURE,WAIT_MATURITY
17,ETN,1D,fwd_1d_return,BLANK,snapshot_date,2026-05-15,source_row_text.price_date,2026-05-18,YFINANCE_TRADING_DAY,PENDING_NOT_ENOUGH_TRADING_DAYS,,NOT_YET_MATURE,WAIT_MATURITY
18,AEHR,1D,fwd_1d_return,BLANK,snapshot_date,2026-05-15,source_row_text.price_date,2026-05-18,YFINANCE_TRADING_DAY,PENDING_NOT_ENOUGH_TRADING_DAYS,,NOT_YET_MATURE,WAIT_MATURITY
19,JBL,1D,fwd_1d_return,BLANK,snapshot_date,2026-05-15,source_row_text.price_date,2026-05-18,YFINANCE_TRADING_DAY,PENDING_NOT_ENOUGH_TRADING_DAYS,,NOT_YET_MATURE,WAIT_MATURITY
20,AVGO,1D,fwd_1d_return,BLANK,snapshot_date,2026-05-15,source_row_text.price_date,2026-05-18,YFINANCE_TRADING_DAY,PENDING_NOT_ENOUGH_TRADING_DAYS,,NOT_YET_MATURE,WAIT_MATURITY
21,ICHR,1D,fwd_1d_return,BLANK,snapshot_date,2026-05-15,source_row_text.price_date,2026-05-18,YFINANCE_TRADING_DAY,PENDING_NOT_ENOUGH_TRADING_DAYS,,NOT_YET_MATURE,WAIT_MATURITY
22,KLAC,1D,fwd_1d_return,BLANK,snapshot_date,2026-05-15,source_row_text.price_date,2026-05-18,YFINANCE_TRADING_DAY,PENDING_NOT_ENOUGH_TRADING_DAYS,,NOT_YET_MATURE,WAIT_MATURITY
23,ZS,1D,fwd_1d_return,BLANK,snapshot_date,2026-05-15,source_row_text.price_date,2026-05-18,YFINANCE_TRADING_DAY,PENDING_NOT_ENOUGH_TRADING_DAYS,,NOT_YET_MATURE,WAIT_MATURITY
24,DDOG,1D,fwd_1d_return,BLANK,snapshot_date,2026-05-15,source_row_text.price_date,2026-05-18,YFINANCE_TRADING_DAY,PENDING_NOT_ENOUGH_TRADING_DAYS,,NOT_YET_MATURE,WAIT_MATURITY
25,FLEX,1D,fwd_1d_return,BLANK,snapshot_date,2026-05-15,source_row_text.price_date,2026-05-18,YFINANCE_TRADING_DAY,PENDING_NOT_ENOUGH_TRADING_DAYS,,NOT_YET_MATURE,WAIT_MATURITY
26,NTAP,1D,fwd_1d_return,BLANK,snapshot_date,2026-05-15,source_row_text.price_date,2026-05-18,YFINANCE_TRADING_DAY,PENDING_NOT_ENOUGH_TRADING_DAYS,,NOT_YET_MATURE,WAIT_MATURITY
27,CSCO,1D,fwd_1d_return,BLANK,snapshot_date,2026-05-15,source_row_text.price_date,2026-05-18,YFINANCE_TRADING_DAY,PENDING_NOT_ENOUGH_TRADING_DAYS,,NOT_YET_MATURE,WAIT_MATURITY
28,AAPL,1D,fwd_1d_return,BLANK,snapshot_date,2026-05-15,source_row_text.price_date,2026-05-18,YFINANCE_TRADING_DAY,PENDING_NOT_ENOUGH_TRADING_DAYS,,NOT_YET_MATURE,WAIT_MATURITY
29,PANW,1D,fwd_1d_return,BLANK,snapshot_date,2026-05-15,source_row_text.price_date,2026-05-18,YFINANCE_TRADING_DAY,PENDING_NOT_ENOUGH_TRADING_DAYS,,NOT_YET_MATURE,WAIT_MATURITY
30,CRWD,1D,fwd_1d_return,BLANK,snapshot_date,2026-05-15,source_row_text.price_date,2026-05-18,YFINANCE_TRADING_DAY,PENDING_NOT_ENOUGH_TRADING_DAYS,,NOT_YET_MATURE,WAIT_MATURITY
31,APH,1D,fwd_1d_return,BLANK,snapshot_date,2026-05-15,source_row_text.price_date,2026-05-18,YFINANCE_TRADING_DAY,PENDING_NOT_ENOUGH_TRADING_DAYS,,NOT_YET_MATURE,WAIT_MATURITY
32,ECL,1D,fwd_1d_return,BLANK,snapshot_date,2026-05-15,source_row_text.price_date,2026-05-18,YFINANCE_TRADING_DAY,PENDING_NOT_ENOUGH_TRADING_DAYS,,NOT_YET_MATURE,WAIT_MATURITY
33,HUBB,1D,fwd_1d_return,BLANK,snapshot_date,2026-05-15,source_row_text.price_date,2026-05-18,YFINANCE_TRADING_DAY,PENDING_NOT_ENOUGH_TRADING_DAYS,,NOT_YET_MATURE,WAIT_MATURITY
34,PLTR,1D,fwd_1d_return,BLANK,snapshot_date,2026-05-15,source_row_text.price_date,2026-05-18,YFINANCE_TRADING_DAY,PENDING_NOT_ENOUGH_TRADING_DAYS,,NOT_YET_MATURE,WAIT_MATURITY
35,VST,1D,fwd_1d_return,BLANK,snapshot_date,2026-05-15,source_row_text.price_date,2026-05-18,YFINANCE_TRADING_DAY,PENDING_NOT_ENOUGH_TRADING_DAYS,,NOT_YET_MATURE,WAIT_MATURITY
36,ACM,1D,fwd_1d_return,BLANK,snapshot_date,2026-05-15,source_row_text.price_date,2026-05-18,YFINANCE_TRADING_DAY,PENDING_NOT_ENOUGH_TRADING_DAYS,,NOT_YET_MATURE,WAIT_MATURITY
37,CAMT,1D,fwd_1d_return,BLANK,snapshot_date,2026-05-15,source_row_text.price_date,2026-05-18,YFINANCE_TRADING_DAY,PENDING_NOT_ENOUGH_TRADING_DAYS,,NOT_YET_MATURE,WAIT_MATURITY
38,CEG,1D,fwd_1d_return,BLANK,snapshot_date,2026-05-15,source_row_text.price_date,2026-05-18,YFINANCE_TRADING_DAY,PENDING_NOT_ENOUGH_TRADING_DAYS,,NOT_YET_MATURE,WAIT_MATURITY
39,ANET,1D,fwd_1d_return,BLANK,snapshot_date,2026-05-15,source_row_text.price_date,2026-05-18,YFINANCE_TRADING_DAY,PENDING_NOT_ENOUGH_TRADING_DAYS,,NOT_YET_MATURE,WAIT_MATURITY
40,CRM,1D,fwd_1d_return,BLANK,snapshot_date,2026-05-15,source_row_text.price_date,2026-05-18,YFINANCE_TRADING_DAY,PENDING_NOT_ENOUGH_TRADING_DAYS,,NOT_YET_MATURE,WAIT_MATURITY
41,D,1D,fwd_1d_return,BLANK,snapshot_date,2026-05-15,source_row_text.price_date,2026-05-18,YFINANCE_TRADING_DAY,PENDING_NOT_ENOUGH_TRADING_DAYS,,NOT_YET_MATURE,WAIT_MATURITY
42,ENTG,1D,fwd_1d_return,BLANK,snapshot_date,2026-05-15,source_row_text.price_date,2026-05-18,YFINANCE_TRADING_DAY,PENDING_NOT_ENOUGH_TRADING_DAYS,,NOT_YET_MATURE,WAIT_MATURITY
43,ETR,1D,fwd_1d_return,BLANK,snapshot_date,2026-05-15,source_row_text.price_date,2026-05-18,YFINANCE_TRADING_DAY,PENDING_NOT_ENOUGH_TRADING_DAYS,,NOT_YET_MATURE,WAIT_MATURITY
44,FLR,1D,fwd_1d_return,BLANK,snapshot_date,2026-05-15,source_row_text.price_date,2026-05-18,YFINANCE_TRADING_DAY,PENDING_NOT_ENOUGH_TRADING_DAYS,,NOT_YET_MATURE,WAIT_MATURITY
45,AMKR,1D,fwd_1d_return,BLANK,snapshot_date,2026-05-15,source_row_text.price_date,2026-05-18,YFINANCE_TRADING_DAY,PENDING_NOT_ENOUGH_TRADING_DAYS,,NOT_YET_MATURE,WAIT_MATURITY
46,CRDO,1D,fwd_1d_return,BLANK,snapshot_date,2026-05-15,source_row_text.price_date,2026-05-18,YFINANCE_TRADING_DAY,PENDING_NOT_ENOUGH_TRADING_DAYS,,NOT_YET_MATURE,WAIT_MATURITY
47,CRWV,1D,fwd_1d_return,BLANK,snapshot_date,2026-05-15,source_row_text.price_date,2026-05-18,YFINANCE_TRADING_DAY,PENDING_NOT_ENOUGH_TRADING_DAYS,,NOT_YET_MATURE,WAIT_MATURITY
48,ETN,1D,fwd_1d_return,BLANK,snapshot_date,2026-05-15,source_row_text.price_date,2026-05-18,YFINANCE_TRADING_DAY,PENDING_NOT_ENOUGH_TRADING_DAYS,,NOT_YET_MATURE,WAIT_MATURITY
49,AEHR,1D,fwd_1d_return,BLANK,snapshot_date,2026-05-15,source_row_text.price_date,2026-05-18,YFINANCE_TRADING_DAY,PENDING_NOT_ENOUGH_TRADING_DAYS,,NOT_YET_MATURE,WAIT_MATURITY
50,JBL,1D,fwd_1d_return,BLANK,snapshot_date,2026-05-15,source_row_text.price_date,2026-05-18,YFINANCE_TRADING_DAY,PENDING_NOT_ENOUGH_TRADING_DAYS,,NOT_YET_MATURE,WAIT_MATURITY
51,AVGO,1D,fwd_1d_return,BLANK,snapshot_date,2026-05-15,source_row_text.price_date,2026-05-18,YFINANCE_TRADING_DAY,PENDING_NOT_ENOUGH_TRADING_DAYS,,NOT_YET_MATURE,WAIT_MATURITY
52,ICHR,1D,fwd_1d_return,BLANK,snapshot_date,2026-05-15,source_row_text.price_date,2026-05-18,YFINANCE_TRADING_DAY,PENDING_NOT_ENOUGH_TRADING_DAYS,,NOT_YET_MATURE,WAIT_MATURITY
53,KLAC,1D,fwd_1d_return,BLANK,snapshot_date,2026-05-15,source_row_text.price_date,2026-05-18,YFINANCE_TRADING_DAY,PENDING_NOT_ENOUGH_TRADING_DAYS,,NOT_YET_MATURE,WAIT_MATURITY
54,ZS,1D,fwd_1d_return,BLANK,snapshot_date,2026-05-15,source_row_text.price_date,2026-05-18,YFINANCE_TRADING_DAY,PENDING_NOT_ENOUGH_TRADING_DAYS,,NOT_YET_MATURE,WAIT_MATURITY
55,DDOG,1D,fwd_1d_return,BLANK,snapshot_date,2026-05-15,source_row_text.price_date,2026-05-18,YFINANCE_TRADING_DAY,PENDING_NOT_ENOUGH_TRADING_DAYS,,NOT_YET_MATURE,WAIT_MATURITY
56,FLEX,1D,fwd_1d_return,BLANK,snapshot_date,2026-05-15,source_row_text.price_date,2026-05-18,YFINANCE_TRADING_DAY,PENDING_NOT_ENOUGH_TRADING_DAYS,,NOT_YET_MATURE,WAIT_MATURITY
57,NTAP,1D,fwd_1d_return,BLANK,snapshot_date,2026-05-15,source_row_text.price_date,2026-05-18,YFINANCE_TRADING_DAY,PENDING_NOT_ENOUGH_TRADING_DAYS,,NOT_YET_MATURE,WAIT_MATURITY
58,CSCO,1D,fwd_1d_return,BLANK,snapshot_date,2026-05-15,source_row_text.price_date,2026-05-18,YFINANCE_TRADING_DAY,PENDING_NOT_ENOUGH_TRADING_DAYS,,NOT_YET_MATURE,WAIT_MATURITY
59,AAPL,1D,fwd_1d_return,BLANK,snapshot_date,2026-05-15,source_row_text.price_date,2026-05-18,YFINANCE_TRADING_DAY,PENDING_NOT_ENOUGH_TRADING_DAYS,,NOT_YET_MATURE,WAIT_MATURITY
60,PANW,1D,fwd_1d_return,BLANK,snapshot_date,2026-05-15,source_row_text.price_date,2026-05-18,YFINANCE_TRADING_DAY,PENDING_NOT_ENOUGH_TRADING_DAYS,,NOT_YET_MATURE,WAIT_MATURITY
61,CRWD,1D,fwd_1d_return,BLANK,snapshot_date,2026-05-15,source_row_text.price_date,2026-05-18,YFINANCE_TRADING_DAY,PENDING_NOT_ENOUGH_TRADING_DAYS,,NOT_YET_MATURE,WAIT_MATURITY
62,APH,1D,fwd_1d_return,BLANK,snapshot_date,2026-05-15,source_row_text.price_date,2026-05-18,YFINANCE_TRADING_DAY,PENDING_NOT_ENOUGH_TRADING_DAYS,,NOT_YET_MATURE,WAIT_MATURITY
63,ECL,1D,fwd_1d_return,BLANK,snapshot_date,2026-05-15,source_row_text.price_date,2026-05-18,YFINANCE_TRADING_DAY,PENDING_NOT_ENOUGH_TRADING_DAYS,,NOT_YET_MATURE,WAIT_MATURITY
64,HUBB,1D,fwd_1d_return,BLANK,snapshot_date,2026-05-15,source_row_text.price_date,2026-05-18,YFINANCE_TRADING_DAY,PENDING_NOT_ENOUGH_TRADING_DAYS,,NOT_YET_MATURE,WAIT_MATURITY
65,PLTR,1D,fwd_1d_return,BLANK,snapshot_date,2026-05-15,source_row_text.price_date,2026-05-18,YFINANCE_TRADING_DAY,PENDING_NOT_ENOUGH_TRADING_DAYS,,NOT_YET_MATURE,WAIT_MATURITY
66,VST,1D,fwd_1d_return,BLANK,snapshot_date,2026-05-15,source_row_text.price_date,2026-05-18,YFINANCE_TRADING_DAY,PENDING_NOT_ENOUGH_TRADING_DAYS,,NOT_YET_MATURE,WAIT_MATURITY
67,ACM,1D,fwd_1d_return,BLANK,snapshot_date,2026-05-15,source_row_text.price_date,2026-05-18,YFINANCE_TRADING_DAY,PENDING_NOT_ENOUGH_TRADING_DAYS,,NOT_YET_MATURE,WAIT_MATURITY
68,CAMT,1D,fwd_1d_return,BLANK,snapshot_date,2026-05-15,source_row_text.price_date,2026-05-18,YFINANCE_TRADING_DAY,PENDING_NOT_ENOUGH_TRADING_DAYS,,NOT_YET_MATURE,WAIT_MATURITY
69,CEG,1D,fwd_1d_return,BLANK,snapshot_date,2026-05-15,source_row_text.price_date,2026-05-18,YFINANCE_TRADING_DAY,PENDING_NOT_ENOUGH_TRADING_DAYS,,NOT_YET_MATURE,WAIT_MATURITY
70,ANET,1D,fwd_1d_return,BLANK,snapshot_date,2026-05-15,source_row_text.price_date,2026-05-18,YFINANCE_TRADING_DAY,PENDING_NOT_ENOUGH_TRADING_DAYS,,NOT_YET_MATURE,WAIT_MATURITY
71,CRM,1D,fwd_1d_return,BLANK,snapshot_date,2026-05-15,source_row_text.price_date,2026-05-18,YFINANCE_TRADING_DAY,PENDING_NOT_ENOUGH_TRADING_DAYS,,NOT_YET_MATURE,WAIT_MATURITY
72,D,1D,fwd_1d_return,BLANK,snapshot_date,2026-05-15,source_row_text.price_date,2026-05-18,YFINANCE_TRADING_DAY,PENDING_NOT_ENOUGH_TRADING_DAYS,,NOT_YET_MATURE,WAIT_MATURITY
73,ENTG,1D,fwd_1d_return,BLANK,snapshot_date,2026-05-15,source_row_text.price_date,2026-05-18,YFINANCE_TRADING_DAY,PENDING_NOT_ENOUGH_TRADING_DAYS,,NOT_YET_MATURE,WAIT_MATURITY
74,ETR,1D,fwd_1d_return,BLANK,snapshot_date,2026-05-15,source_row_text.price_date,2026-05-18,YFINANCE_TRADING_DAY,PENDING_NOT_ENOUGH_TRADING_DAYS,,NOT_YET_MATURE,WAIT_MATURITY
75,FLR,1D,fwd_1d_return,BLANK,snapshot_date,2026-05-15,source_row_text.price_date,2026-05-18,YFINANCE_TRADING_DAY,PENDING_NOT_ENOUGH_TRADING_DAYS,,NOT_YET_MATURE,WAIT_MATURITY
76,AMKR,1D,fwd_1d_return,BLANK,snapshot_date,2026-05-15,source_row_text.price_date,2026-05-18,YFINANCE_TRADING_DAY,PENDING_NOT_ENOUGH_TRADING_DAYS,,NOT_YET_MATURE,WAIT_MATURITY
77,CRDO,1D,fwd_1d_return,BLANK,snapshot_date,2026-05-15,source_row_text.price_date,2026-05-18,YFINANCE_TRADING_DAY,PENDING_NOT_ENOUGH_TRADING_DAYS,,NOT_YET_MATURE,WAIT_MATURITY
78,CRWV,1D,fwd_1d_return,BLANK,snapshot_date,2026-05-15,source_row_text.price_date,2026-05-18,YFINANCE_TRADING_DAY,PENDING_NOT_ENOUGH_TRADING_DAYS,,NOT_YET_MATURE,WAIT_MATURITY
79,ETN,1D,fwd_1d_return,BLANK,snapshot_date,2026-05-15,source_row_text.price_date,2026-05-18,YFINANCE_TRADING_DAY,PENDING_NOT_ENOUGH_TRADING_DAYS,,NOT_YET_MATURE,WAIT_MATURITY
80,AEHR,1D,fwd_1d_return,BLANK,snapshot_date,2026-05-15,source_row_text.price_date,2026-05-18,YFINANCE_TRADING_DAY,PENDING_NOT_ENOUGH_TRADING_DAYS,,NOT_YET_MATURE,WAIT_MATURITY
81,JBL,1D,fwd_1d_return,BLANK,snapshot_date,2026-05-15,source_row_text.price_date,2026-05-18,YFINANCE_TRADING_DAY,PENDING_NOT_ENOUGH_TRADING_DAYS,,NOT_YET_MATURE,WAIT_MATURITY
82,AVGO,1D,fwd_1d_return,BLANK,snapshot_date,2026-05-15,source_row_text.price_date,2026-05-18,YFINANCE_TRADING_DAY,PENDING_NOT_ENOUGH_TRADING_DAYS,,NOT_YET_MATURE,WAIT_MATURITY
83,ICHR,1D,fwd_1d_return,BLANK,snapshot_date,2026-05-15,source_row_text.price_date,2026-05-18,YFINANCE_TRADING_DAY,PENDING_NOT_ENOUGH_TRADING_DAYS,,NOT_YET_MATURE,WAIT_MATURITY
84,KLAC,1D,fwd_1d_return,BLANK,snapshot_date,2026-05-15,source_row_text.price_date,2026-05-18,YFINANCE_TRADING_DAY,PENDING_NOT_ENOUGH_TRADING_DAYS,,NOT_YET_MATURE,WAIT_MATURITY
85,ZS,1D,fwd_1d_return,BLANK,snapshot_date,2026-05-15,source_row_text.price_date,2026-05-18,YFINANCE_TRADING_DAY,PENDING_NOT_ENOUGH_TRADING_DAYS,,NOT_YET_MATURE,WAIT_MATURITY
86,DDOG,1D,fwd_1d_return,BLANK,snapshot_date,2026-05-15,source_row_text.price_date,2026-05-18,YFINANCE_TRADING_DAY,PENDING_NOT_ENOUGH_TRADING_DAYS,,NOT_YET_MATURE,WAIT_MATURITY
87,FLEX,1D,fwd_1d_return,BLANK,snapshot_date,2026-05-15,source_row_text.price_date,2026-05-18,YFINANCE_TRADING_DAY,PENDING_NOT_ENOUGH_TRADING_DAYS,,NOT_YET_MATURE,WAIT_MATURITY
88,NTAP,1D,fwd_1d_return,BLANK,snapshot_date,2026-05-15,source_row_text.price_date,2026-05-18,YFINANCE_TRADING_DAY,PENDING_NOT_ENOUGH_TRADING_DAYS,,NOT_YET_MATURE,WAIT_MATURITY
89,CSCO,1D,fwd_1d_return,BLANK,snapshot_date,2026-05-15,source_row_text.price_date,2026-05-18,YFINANCE_TRADING_DAY,PENDING_NOT_ENOUGH_TRADING_DAYS,,NOT_YET_MATURE,WAIT_MATURITY
90,AAPL,1D,fwd_1d_return,BLANK,snapshot_date,2026-05-15,source_row_text.price_date,2026-05-18,YFINANCE_TRADING_DAY,PENDING_NOT_ENOUGH_TRADING_DAYS,,NOT_YET_MATURE,WAIT_MATURITY
91,PANW,1D,fwd_1d_return,BLANK,snapshot_date,2026-05-15,source_row_text.price_date,2026-05-18,YFINANCE_TRADING_DAY,PENDING_NOT_ENOUGH_TRADING_DAYS,,NOT_YET_MATURE,WAIT_MATURITY
92,CRWD,1D,fwd_1d_return,BLANK,snapshot_date,2026-05-15,source_row_text.price_date,2026-05-18,YFINANCE_TRADING_DAY,PENDING_NOT_ENOUGH_TRADING_DAYS,,NOT_YET_MATURE,WAIT_MATURITY
0,APH,5D,fwd_5d_return,BLANK,snapshot_date,2026-05-15,source_row_text.price_date,2026-05-18,YFINANCE_TRADING_DAY,PENDING_NOT_ENOUGH_TRADING_DAYS,,NOT_YET_MATURE,WAIT_MATURITY
1,ECL,5D,fwd_5d_return,BLANK,snapshot_date,2026-05-15,source_row_text.price_date,2026-05-18,YFINANCE_TRADING_DAY,PENDING_NOT_ENOUGH_TRADING_DAYS,,NOT_YET_MATURE,WAIT_MATURITY
2,HUBB,5D,fwd_5d_return,BLANK,snapshot_date,2026-05-15,source_row_text.price_date,2026-05-18,YFINANCE_TRADING_DAY,PENDING_NOT_ENOUGH_TRADING_DAYS,,NOT_YET_MATURE,WAIT_MATURITY
3,PLTR,5D,fwd_5d_return,BLANK,snapshot_date,2026-05-15,source_row_text.price_date,2026-05-18,YFINANCE_TRADING_DAY,PENDING_NOT_ENOUGH_TRADING_DAYS,,NOT_YET_MATURE,WAIT_MATURITY
4,VST,5D,fwd_5d_return,BLANK,snapshot_date,2026-05-15,source_row_text.price_date,2026-05-18,YFINANCE_TRADING_DAY,PENDING_NOT_ENOUGH_TRADING_DAYS,,NOT_YET_MATURE,WAIT_MATURITY
5,ACM,5D,fwd_5d_return,BLANK,snapshot_date,2026-05-15,source_row_text.price_date,2026-05-18,YFINANCE_TRADING_DAY,PENDING_NOT_ENOUGH_TRADING_DAYS,,NOT_YET_MATURE,WAIT_MATURITY
6,CAMT,5D,fwd_5d_return,BLANK,snapshot_date,2026-05-15,source_row_text.price_date,2026-05-18,YFINANCE_TRADING_DAY,PENDING_NOT_ENOUGH_TRADING_DAYS,,NOT_YET_MATURE,WAIT_MATURITY
7,CEG,5D,fwd_5d_return,BLANK,snapshot_date,2026-05-15,source_row_text.price_date,2026-05-18,YFINANCE_TRADING_DAY,PENDING_NOT_ENOUGH_TRADING_DAYS,,NOT_YET_MATURE,WAIT_MATURITY
8,ANET,5D,fwd_5d_return,BLANK,snapshot_date,2026-05-15,source_row_text.price_date,2026-05-18,YFINANCE_TRADING_DAY,PENDING_NOT_ENOUGH_TRADING_DAYS,,NOT_YET_MATURE,WAIT_MATURITY
9,CRM,5D,fwd_5d_return,BLANK,snapshot_date,2026-05-15,source_row_text.price_date,2026-05-18,YFINANCE_TRADING_DAY,PENDING_NOT_ENOUGH_TRADING_DAYS,,NOT_YET_MATURE,WAIT_MATURITY
10,D,5D,fwd_5d_return,BLANK,snapshot_date,2026-05-15,source_row_text.price_date,2026-05-18,YFINANCE_TRADING_DAY,PENDING_NOT_ENOUGH_TRADING_DAYS,,NOT_YET_MATURE,WAIT_MATURITY
11,ENTG,5D,fwd_5d_return,BLANK,snapshot_date,2026-05-15,source_row_text.price_date,2026-05-18,YFINANCE_TRADING_DAY,PENDING_NOT_ENOUGH_TRADING_DAYS,,NOT_YET_MATURE,WAIT_MATURITY
12,ETR,5D,fwd_5d_return,BLANK,snapshot_date,2026-05-15,source_row_text.price_date,2026-05-18,YFINANCE_TRADING_DAY,PENDING_NOT_ENOUGH_TRADING_DAYS,,NOT_YET_MATURE,WAIT_MATURITY
13,FLR,5D,fwd_5d_return,BLANK,snapshot_date,2026-05-15,source_row_text.price_date,2026-05-18,YFINANCE_TRADING_DAY,PENDING_NOT_ENOUGH_TRADING_DAYS,,NOT_YET_MATURE,WAIT_MATURITY
14,AMKR,5D,fwd_5d_return,BLANK,snapshot_date,2026-05-15,source_row_text.price_date,2026-05-18,YFINANCE_TRADING_DAY,PENDING_NOT_ENOUGH_TRADING_DAYS,,NOT_YET_MATURE,WAIT_MATURITY
15,CRDO,5D,fwd_5d_return,BLANK,snapshot_date,2026-05-15,source_row_text.price_date,2026-05-18,YFINANCE_TRADING_DAY,PENDING_NOT_ENOUGH_TRADING_DAYS,,NOT_YET_MATURE,WAIT_MATURITY
16,CRWV,5D,fwd_5d_return,BLANK,snapshot_date,2026-05-15,source_row_text.price_date,2026-05-18,YFINANCE_TRADING_DAY,PENDING_NOT_ENOUGH_TRADING_DAYS,,NOT_YET_MATURE,WAIT_MATURITY
17,ETN,5D,fwd_5d_return,BLANK,snapshot_date,2026-05-15,source_row_text.price_date,2026-05-18,YFINANCE_TRADING_DAY,PENDING_NOT_ENOUGH_TRADING_DAYS,,NOT_YET_MATURE,WAIT_MATURITY
18,AEHR,5D,fwd_5d_return,BLANK,snapshot_date,2026-05-15,source_row_text.price_date,2026-05-18,YFINANCE_TRADING_DAY,PENDING_NOT_ENOUGH_TRADING_DAYS,,NOT_YET_MATURE,WAIT_MATURITY
19,JBL,5D,fwd_5d_return,BLANK,snapshot_date,2026-05-15,source_row_text.price_date,2026-05-18,YFINANCE_TRADING_DAY,PENDING_NOT_ENOUGH_TRADING_DAYS,,NOT_YET_MATURE,WAIT_MATURITY
20,AVGO,5D,fwd_5d_return,BLANK,snapshot_date,2026-05-15,source_row_text.price_date,2026-05-18,YFINANCE_TRADING_DAY,PENDING_NOT_ENOUGH_TRADING_DAYS,,NOT_YET_MATURE,WAIT_MATURITY
21,ICHR,5D,fwd_5d_return,BLANK,snapshot_date,2026-05-15,source_row_text.price_date,2026-05-18,YFINANCE_TRADING_DAY,PENDING_NOT_ENOUGH_TRADING_DAYS,,NOT_YET_MATURE,WAIT_MATURITY
