ticker,resolution_bucket,row_count,min_date,max_date,latest_close,latest_volume,r23b_quality_status,quality_status,integration_candidate_status,reason,provider,fetch_run_id,rolling_last_scan_status,rolling_last_attempt_scan_timestamp,rolling_last_success_scan_date,recommended_next_action
BLSH,PARTIAL_HISTORY_CONTINUE_HOLD,196,2025-08-13,2026-05-22,36.18009948730469,394843,PARTIAL_HISTORY_HOLD,HELD_OUT_PARTIAL_HISTORY,HELD_OUT_PARTIAL_HISTORY,Partial history remains held out for separate policy handling.,yfinance,V18_25A_R23B_20260523_000917,SKIPPED_NO_LOCAL_DATA,2026-05-21T14:16:59,,CONTINUE_PARTIAL_HISTORY_HOLD
CAI,PARTIAL_HISTORY_CONTINUE_HOLD,234,2025-06-18,2026-05-22,15.734999656677246,276861,PARTIAL_HISTORY_HOLD,HELD_OUT_PARTIAL_HISTORY,HELD_OUT_PARTIAL_HISTORY,Partial history remains held out for separate policy handling.,yfinance,V18_25A_R23B_20260523_000917,SKIPPED_NO_LOCAL_DATA,2026-05-21T14:16:59,,CONTINUE_PARTIAL_HISTORY_HOLD
CDTX,EMPTY_FETCH_SYMBOL_PROVIDER_AUDIT,0,,,,,EMPTY_FETCH,HELD_OUT_EMPTY_FETCH,HELD_OUT_EMPTY_FETCH,R23B classified ticker as EMPTY_FETCH.,,,SKIPPED_NO_LOCAL_DATA,2026-05-21T14:16:59,,SYMBOL_PROVIDER_AUDIT_R27B_OR_PROVIDER_FALLBACK_RETRY
CFLT,EMPTY_FETCH_SYMBOL_PROVIDER_AUDIT,0,,,,,EMPTY_FETCH,HELD_OUT_EMPTY_FETCH,HELD_OUT_EMPTY_FETCH,R23B classified ticker as EMPTY_FETCH.,,,SKIPPED_NO_LOCAL_DATA,2026-05-21T14:16:59,,SYMBOL_PROVIDER_AUDIT_R27B_OR_PROVIDER_FALLBACK_RETRY
CHYM,PARTIAL_HISTORY_CONTINUE_HOLD,238,2025-06-12,2026-05-22,17.979999542236328,589105,PARTIAL_HISTORY_HOLD,HELD_OUT_PARTIAL_HISTORY,HELD_OUT_PARTIAL_HISTORY,Partial history remains held out for separate policy handling.,yfinance,V18_25A_R23B_20260523_000917,SKIPPED_NO_LOCAL_DATA,2026-05-21T14:16:59,,CONTINUE_PARTIAL_HISTORY_HOLD
COG,EMPTY_FETCH_SYMBOL_PROVIDER_AUDIT,0,,,,,EMPTY_FETCH,HELD_OUT_EMPTY_FETCH,HELD_OUT_EMPTY_FETCH,R23B classified ticker as EMPTY_FETCH.,,,SKIPPED_NO_LOCAL_DATA,2026-05-21T14:33:00,,SYMBOL_PROVIDER_AUDIT_R27B_OR_PROVIDER_FALLBACK_RETRY
CRCL,PARTIAL_HISTORY_CONTINUE_HOLD,243,2025-06-05,2026-05-22,114.36849975585938,4412700,PARTIAL_HISTORY_HOLD,HELD_OUT_PARTIAL_HISTORY,HELD_OUT_PARTIAL_HISTORY,Partial history remains held out for separate policy handling.,yfinance,V18_25A_R23B_20260523_000917,SKIPPED_NO_LOCAL_DATA,2026-05-21T14:33:00,,CONTINUE_PARTIAL_HISTORY_HOLD
FIGR,PARTIAL_HISTORY_CONTINUE_HOLD,176,2025-09-11,2026-05-22,33.86000061035156,898697,PARTIAL_HISTORY_HOLD,HELD_OUT_PARTIAL_HISTORY,HELD_OUT_PARTIAL_HISTORY,Partial history remains held out for separate policy handling.,yfinance,V18_25A_R23B_20260523_000917,SKIPPED_NO_LOCAL_DATA,2026-05-21T14:33:00,,CONTINUE_PARTIAL_HISTORY_HOLD
GEMI,PARTIAL_HISTORY_CONTINUE_HOLD,175,2025-09-12,2026-05-22,5.380300045013428,545244,PARTIAL_HISTORY_HOLD,HELD_OUT_PARTIAL_HISTORY,HELD_OUT_PARTIAL_HISTORY,Partial history remains held out for separate policy handling.,yfinance,V18_25A_R23B_20260523_000917,SKIPPED_NO_LOCAL_DATA,2026-05-21T14:33:00,,CONTINUE_PARTIAL_HISTORY_HOLD
JBS,PARTIAL_HISTORY_CONTINUE_HOLD,237,2025-06-13,2026-05-22,13.149999618530273,2201214,PARTIAL_HISTORY_HOLD,HELD_OUT_PARTIAL_HISTORY,HELD_OUT_PARTIAL_HISTORY,Partial history remains held out for separate policy handling.,yfinance,V18_25A_R23B_20260523_000917,SKIPPED_NO_LOCAL_DATA,2026-05-21T14:33:00,,CONTINUE_PARTIAL_HISTORY_HOLD
