ticker,official_price_cache_available,official_price_cache_row_count,latest_price_date,close_column_available,full_history_ready,rolling_ledger_success,factor_pack_present_current,factor_pack_score_present_current,factor_pack_refresh_input_ready,factor_pack_refresh_blocker,technical_timing_present_current,technical_refresh_input_ready,technical_refresh_blocker,required_history_days_available,estimated_refresh_readiness,recommended_refresh_action,refresh_priority,reason_summary
APP,TRUE,1262,2026-05-20,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FACTOR_MARKET_PROXY_HISTORY_MISSING,FALSE,TRUE,NONE,1262,READY_FOR_TECHNICAL_REFRESH_ONLY,READY_FOR_TECHNICAL_REFRESH_ONLY,P2_PARTIAL_REFRESH,Official cache rows=1262; latest_date=2026-05-20; factor_current=NO; technical_current=NO; factor_market_proxy_ready=NO; ledger_success=YES.
ARGT,TRUE,1262,2026-05-20,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FACTOR_MARKET_PROXY_HISTORY_MISSING,FALSE,TRUE,NONE,1262,READY_FOR_TECHNICAL_REFRESH_ONLY,READY_FOR_TECHNICAL_REFRESH_ONLY,P2_PARTIAL_REFRESH,Official cache rows=1262; latest_date=2026-05-20; factor_current=NO; technical_current=NO; factor_market_proxy_ready=NO; ledger_success=YES.
AXON,TRUE,1262,2026-05-20,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FACTOR_MARKET_PROXY_HISTORY_MISSING,FALSE,TRUE,NONE,1262,READY_FOR_TECHNICAL_REFRESH_ONLY,READY_FOR_TECHNICAL_REFRESH_ONLY,P2_PARTIAL_REFRESH,Official cache rows=1262; latest_date=2026-05-20; factor_current=NO; technical_current=NO; factor_market_proxy_ready=NO; ledger_success=YES.
BABA,TRUE,1262,2026-05-20,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FACTOR_MARKET_PROXY_HISTORY_MISSING,FALSE,TRUE,NONE,1262,READY_FOR_TECHNICAL_REFRESH_ONLY,READY_FOR_TECHNICAL_REFRESH_ONLY,P2_PARTIAL_REFRESH,Official cache rows=1262; latest_date=2026-05-20; factor_current=NO; technical_current=NO; factor_market_proxy_ready=NO; ledger_success=YES.
BAC,TRUE,1262,2026-05-20,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FACTOR_MARKET_PROXY_HISTORY_MISSING,FALSE,TRUE,NONE,1262,READY_FOR_TECHNICAL_REFRESH_ONLY,READY_FOR_TECHNICAL_REFRESH_ONLY,P2_PARTIAL_REFRESH,Official cache rows=1262; latest_date=2026-05-20; factor_current=NO; technical_current=NO; factor_market_proxy_ready=NO; ledger_success=YES.
BALL,TRUE,1262,2026-05-20,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FACTOR_MARKET_PROXY_HISTORY_MISSING,FALSE,TRUE,NONE,1262,READY_FOR_TECHNICAL_REFRESH_ONLY,READY_FOR_TECHNICAL_REFRESH_ONLY,P2_PARTIAL_REFRESH,Official cache rows=1262; latest_date=2026-05-20; factor_current=NO; technical_current=NO; factor_market_proxy_ready=NO; ledger_success=YES.
BIDU,TRUE,1262,2026-05-20,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FACTOR_MARKET_PROXY_HISTORY_MISSING,FALSE,TRUE,NONE,1262,READY_FOR_TECHNICAL_REFRESH_ONLY,READY_FOR_TECHNICAL_REFRESH_ONLY,P2_PARTIAL_REFRESH,Official cache rows=1262; latest_date=2026-05-20; factor_current=NO; technical_current=NO; factor_market_proxy_ready=NO; ledger_success=YES.
BITF,TRUE,1262,2026-05-20,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FACTOR_MARKET_PROXY_HISTORY_MISSING,FALSE,TRUE,NONE,1262,READY_FOR_TECHNICAL_REFRESH_ONLY,READY_FOR_TECHNICAL_REFRESH_ONLY,P2_PARTIAL_REFRESH,Official cache rows=1262; latest_date=2026-05-20; factor_current=NO; technical_current=NO; factor_market_proxy_ready=NO; ledger_success=YES.
BKNG,TRUE,1262,2026-05-20,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FACTOR_MARKET_PROXY_HISTORY_MISSING,FALSE,TRUE,NONE,1262,READY_FOR_TECHNICAL_REFRESH_ONLY,READY_FOR_TECHNICAL_REFRESH_ONLY,P2_PARTIAL_REFRESH,Official cache rows=1262; latest_date=2026-05-20; factor_current=NO; technical_current=NO; factor_market_proxy_ready=NO; ledger_success=YES.
BLTE,TRUE,1018,2026-05-20,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FACTOR_MARKET_PROXY_HISTORY_MISSING,FALSE,TRUE,NONE,1018,READY_FOR_TECHNICAL_REFRESH_ONLY,READY_FOR_TECHNICAL_REFRESH_ONLY,P2_PARTIAL_REFRESH,Official cache rows=1018; latest_date=2026-05-20; factor_current=NO; technical_current=NO; factor_market_proxy_ready=NO; ledger_success=YES.
